"record_id","name","slug","status","platform_category","current_role","current_company","headline","bio_short","bio_long","country","city","region","timezone","primary_category","secondary_categories","specialties","seniority_level","engagement_type","industry_focus","market_focus","company_size_focus","languages","years_experience","key_contribution","notable_achievements","notable_clients_or_brands","speaking_engagements","podcasts_or_interviews","books_or_newsletters","case_studies","certifications","services_offered","problems_they_solve","ideal_for","personal_website","company_website","linkedin_url","x_url","github_url","other_social_urls","profile_image_url","source_urls","source_notes","confidence_score","last_verified_at","crawl_seed_query","crawl_priority","manual_review_notes"
"alex-galinos","Alex Galinos","alex-galinos","approved","Technical SEO","International SEO Consultant","","","Greek SEO expert specializing in multilingual and multi-country SEO.","","","","","","Technical SEO","","","","","","","","","","Greek SEO expert specializing in multilingual and multi-country SEO.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Alex Galinos International SEO Consultant Technical SEO SEO","normal",""
"alex-horsman","Alex Horsman","alex-horsman","approved","Link Building","Founder, Sh*tty SEO Advice","Sh*tty SEO Advice","","Teaches “passive” link building – earning links without cold outreach.","","","","","","Link Building","","","","","","","","","","Teaches “passive” link building – earning links without cold outreach.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Alex Horsman Founder, Sh*tty SEO Advice Link Building SEO","normal",""
"alexandra-tachalova","Alexandra Tachalova","alexandra-tachalova","approved","Link Building","Founder, Digital Olympus","Digital Olympus","","Equally famous for her SEO memes on Twitter and insightful link outreach strategies.","","","","","","Link Building","","","","","","","","","","Equally famous for her SEO memes on Twitter and insightful link outreach strategies.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Alexandra Tachalova Founder, Digital Olympus Link Building SEO","normal",""
"aleyda-sol-s","Aleyda Solís","aleyda-sol-s","approved","Technical SEO","Founder, Orainti","Orainti","","International SEO legend & author. Blogger, YouTuber (“Crawling Mondays”), and industry thought leader.","","","","","","Technical SEO","","","","","","","","","","International SEO legend & author. Blogger, YouTuber (“Crawling Mondays”), and industry thought leader.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Aleyda Solís Founder, Orainti Technical SEO SEO","normal",""
"amanpreet-singh","Amanpreet Singh","amanpreet-singh","approved","Community & Education","SEO Trainer","","","Popular on LinkedIn for bite-sized “quick win” SEO tips.","","","","","","Community & Education","","","","","","","","","","Popular on LinkedIn for bite-sized “quick win” SEO tips.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Amanpreet Singh SEO Trainer Community & Education SEO","normal",""
"andrew-holland","Andrew Holland","andrew-holland","approved","General SEO","Director of SEO, JBH Agency","JBH Agency","","Emphasizes profit-centric SEO. Author of “The Value of SEO” illustrated book.","","","","","","General SEO","","","","","","","","","","Emphasizes profit-centric SEO. Author of “The Value of SEO” illustrated book.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Andrew Holland Director of SEO, JBH Agency General SEO SEO","normal",""
"anna-york","Anna York","anna-york","approved","AI SEO","SEO Consultant","","","AI SEO “queen”. Mastery of using GPT for keyword clustering, content briefs, etc.","","","","","","AI SEO","","","","","","","","","","AI SEO “queen”. Mastery of using GPT for keyword clustering, content briefs, etc.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Anna York SEO Consultant AI SEO SEO","normal",""
"areej-abuali","Areej AbuAli","areej-abuali","approved","Community & Education","Founder, Women in Tech SEO","Women in Tech SEO","","Community leader & technical SEO advocate. Founded the global Women in Tech SEO community.","","","","","","Community & Education","","","","","","","","","","Community leader & technical SEO advocate. Founded the global Women in Tech SEO community.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Areej AbuAli Founder, Women in Tech SEO Community & Education SEO","normal",""
"artur-perrella-glukhovskyy","Artur Perrella Glukhovskyy","artur-perrella-glukhovskyy","approved","E-commerce SEO","Founder, Ivanhoe Digital","Ivanhoe Digital","","Helps e-commerce scale with content and unique Looker Studio reports.","","","","","","E-commerce SEO","","","","","","","","","","Helps e-commerce scale with content and unique Looker Studio reports.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Artur Perrella Glukhovskyy Founder, Ivanhoe Digital E-commerce SEO SEO","normal",""
"barry-schwartz","Barry Schwartz","barry-schwartz","approved","Community & Education","Founder, Search Engine Roundtable","Search Engine Roundtable","","The industry news “first responder”. Prolific SEO news reporter since 2003.","","","","","","Community & Education","","","","","","","","","","The industry news “first responder”. Prolific SEO news reporter since 2003.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Barry Schwartz Founder, Search Engine Roundtable Community & Education SEO","normal",""
