"record_id","name","slug","status","platform_category","current_role","current_company","headline","bio_short","bio_long","country","city","region","timezone","primary_category","secondary_categories","specialties","seniority_level","engagement_type","industry_focus","market_focus","company_size_focus","languages","years_experience","key_contribution","notable_achievements","notable_clients_or_brands","speaking_engagements","podcasts_or_interviews","books_or_newsletters","case_studies","certifications","services_offered","problems_they_solve","ideal_for","personal_website","company_website","linkedin_url","x_url","github_url","other_social_urls","profile_image_url","source_urls","source_notes","confidence_score","last_verified_at","crawl_seed_query","crawl_priority","manual_review_notes"
"ivan-palii","Ivan Palii","ivan-palii","approved","Technical SEO","Head of Product, Sitechecker","Sitechecker","","Creates popular, free Looker Studio templates for SEO reporting.","","","","","","Technical SEO","","","","","","","","","","Creates popular, free Looker Studio templates for SEO reporting.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Ivan Palii Head of Product, Sitechecker Technical SEO SEO","normal",""
"ivan-radica","Ivan Radica","ivan-radica","approved","E-commerce SEO","Co-founder & CMO, SEO LICK","SEO LICK","","Runs an agency scaling small-to-mid e-commerce brands via SEO.","","","","","","E-commerce SEO","","","","","","","","","","Runs an agency scaling small-to-mid e-commerce brands via SEO.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Ivan Radica Co-founder & CMO, SEO LICK E-commerce SEO SEO","normal",""
"jairo-guerrero","Jairo Guerrero","jairo-guerrero","approved","General SEO","Founder, Organic Hackers","Organic Hackers","","Known for creative, sometimes unconventional SEO tactics. The “insane strategies” guy.","","","","","","General SEO","","","","","","","","","","Known for creative, sometimes unconventional SEO tactics. The “insane strategies” guy.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Jairo Guerrero Founder, Organic Hackers General SEO SEO","normal",""
"jake-ward","Jake Ward","jake-ward","approved","General SEO","Founder, Contact (SEO agency)","Contact (SEO agency)","","Drives ~$20M/year in client revenue. Shares daily LinkedIn posts about scaling SaaS SEO.","","","","","","General SEO","","","","","","","","","","Drives ~$20M/year in client revenue. Shares daily LinkedIn posts about scaling SaaS SEO.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Jake Ward Founder, Contact (SEO agency) General SEO SEO","normal",""
"james-reynolds","James Reynolds","james-reynolds","approved","General SEO","Founder & MD, SEO Sherpa","SEO Sherpa","","Founded an award-winning international agency. Known for transparent case studies.","","","","","","General SEO","","","","","","","","","","Founded an award-winning international agency. Known for transparent case studies.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","James Reynolds Founder & MD, SEO Sherpa General SEO SEO","normal",""
"jamie-indigo","Jamie Indigo","jamie-indigo","approved","Technical SEO","Technical SEO Consultant","","","OG technical SEO & bot specialist. Known for “speaking bot” – expertise in JavaScript SEO, crawling, and indexation.","","","","","","Technical SEO","","","","","","","","","","OG technical SEO & bot specialist. Known for “speaking bot” – expertise in JavaScript SEO, crawling, and indexation.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Jamie Indigo Technical SEO Consultant Technical SEO SEO","normal",""
"jean-christophe-chouinard","Jean-Christophe Chouinard","jean-christophe-chouinard","approved","AI SEO","Sr. SEO Strategist, Tripadvisor","Tripadvisor","","Helps the community learn Python for SEO. Known for automating SEO tasks.","","","","","","AI SEO","","","","","","","","","","Helps the community learn Python for SEO. Known for automating SEO tasks.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Jean-Christophe Chouinard Sr. SEO Strategist, Tripadvisor AI SEO SEO","normal",""
"jes-scholz","Jes Scholz","jes-scholz","approved","General SEO","International Digital Strategist","","","Shares data-driven analyses of market-specific search trends. Speaker on emerging market search behaviors.","","","","","","General SEO","","","","","","","","","","Shares data-driven analyses of market-specific search trends. Speaker on emerging market search behaviors.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Jes Scholz International Digital Strategist General SEO SEO","normal",""
"jesse-mcfarland","Jesse McFarland","jesse-mcfarland","approved","Content SEO","Founder, SpearPoint Marketing","SpearPoint Marketing","","Specializes in B2B and e-commerce SEO content that drives leads.","","","","","","Content SEO","","","","","","","","","","Specializes in B2B and e-commerce SEO content that drives leads.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Jesse McFarland Founder, SpearPoint Marketing Content SEO SEO","normal",""
"jessica-redman","Jessica Redman","jessica-redman","approved","Content SEO","SEO Content Strategist","","","Shares “SEO as it is” – frank opinions on industry fads and realities.","","","","","","Content SEO","","","","","","","","","","Shares “SEO as it is” – frank opinions on industry fads and realities.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Jessica Redman SEO Content Strategist Content SEO SEO","normal",""
